iter	Passed	Remaining
0	1	194
1	2	138
2	3	113
3	3	95
4	4	88
5	5	82
6	5	77
7	6	74
8	7	72
9	7	68
10	8	66
11	8	64
12	9	62
13	10	61
14	10	60
15	11	58
16	11	58
17	12	57
18	13	55
19	13	54
20	14	54
21	14	53
22	15	51
23	16	50
24	17	51
25	17	50
26	18	50
27	19	49
28	19	48
29	20	47
30	20	46
31	21	45
32	22	44
33	22	44
34	23	43
35	24	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	38
41	27	37
42	27	36
43	28	36
44	28	35
45	29	34
46	30	34
47	30	33
48	31	32
49	31	31
50	32	31
51	33	31
52	34	30
53	34	29
54	35	28
55	35	28
56	37	28
57	37	27
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	23
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	56	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	59	5
91	60	5
92	61	4
93	61	3
94	62	3
95	62	2
96	63	1
97	64	1
98	65	0
99	65	0
